question_id,question,evidence,difficulty,generation_time_formatted,generation_time_seconds
0,อัตราฟรีที่มีสิทธิ์สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) ในโรงเรียนใน Alameda County คือเท่าใด,อัตราฟรีที่มีสิทธิ์สำหรับระดับอนุบาลถึงมัธยมศึกษา (K-12) = `จำนวนมื้ออาหารฟรี (K-12)` / `การลงทะเบียน (K-12)`,simple,34.32 วินาที,34.31761884689331
1,โปรดระบุอัตราค่าเรียนฟรีที่มีสิทธิ์ต่ำสุดสามรายการสำหรับนักเรียนอายุ 5-17 ปีในโรงเรียนต่อเนื่อง,ราคาฟรีที่มีสิทธิ์สำหรับนักเรียนอายุ 5-17 ปี = `นับมื้ออาหารฟรี (อายุ 5-17 ปี)` / `การลงทะเบียน (อายุ 5-17 ปี)`,moderate,7.79 วินาที,7.789135217666626
2,โปรดระบุรหัสไปรษณีย์ของโรงเรียนเหมาลำทั้งหมดในสำนักงานการศึกษาเทศมณฑลเฟรสโน,โรงเรียนกฎบัตรหมายถึง `โรงเรียนกฎบัตร (ใช่/ไม่มี)` = 1 ในตาราง fprm,simple,4.93 วินาที,4.9344401359558105
3,ที่อยู่ทางไปรษณีย์แบบไม่ย่อของโรงเรียนที่มีจำนวน FRPM สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) คืออะไร,,simple,4.93 วินาที,4.934410095214844
4,โปรดระบุหมายเลขโทรศัพท์ของโรงเรียนที่ได้รับทุนสนับสนุนการเช่าเหมาลำโดยตรงที่เปิดหลังวันที่ 1/1/2000,โรงเรียนกฎบัตรหมายถึง `โรงเรียนกฎบัตร (ใช่/ไม่มี)` = 1 ในรอบต่อนาที,moderate,6.96 วินาที,6.957424163818359
5,มีโรงเรียนกี่แห่งที่มีคะแนนเฉลี่ยในวิชาคณิตศาสตร์มากกว่า 400 ในการทดสอบ SAT ที่เป็นระบบเสมือนจริงโดยเฉพาะ,เสมือนโดยเฉพาะหมายถึง Virtual = 'F',simple,9.09 วินาที,9.089428901672363
6,ในบรรดาโรงเรียนที่มีผู้สอบ SAT มากกว่า 500 คน โปรดระบุรายชื่อโรงเรียนที่เป็นโรงเรียนแม่เหล็กหรือเสนอโปรแกรมแม่เหล็ก,โรงเรียนแม่เหล็กหรือเสนอโปรแกรมแม่เหล็กหมายความว่า Magnet = 1,simple,6.66 วินาที,6.655168771743774
7,หมายเลขโทรศัพท์ของโรงเรียนที่มีผู้สอบ SAT มากกว่า 1500 มีจำนวนมากที่สุดคือหมายเลขโทรศัพท์อะไร?,,simple,5.92 วินาที,5.918078899383545
8,จำนวนผู้สอบ SAT ของโรงเรียนที่มีจำนวน FRPM สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) คือเท่าใด,,simple,7.19 วินาที,7.188013076782227
9,ในบรรดาโรงเรียนที่มีคะแนนเฉลี่ยวิชาคณิตศาสตร์มากกว่า 560 ในการสอบ SAT มีโรงเรียนกี่แห่งที่ได้รับทุนสนับสนุนโดยตรง,,simple,8.93 วินาที,8.930323123931885
