question_num,question,generation_time_formatted,generation_time_seconds
1,เรามีนักร้องกี่คน?,24.05 วินาที,24.047260761260986
2,นักร้องทั้งหมดกี่คนคะ?,1.83 วินาที,1.8295488357543945
3,แสดงชื่อ ประเทศ อายุของนักร้องทุกคน เรียงตามอายุจากอายุมากที่สุดไปอายุน้อยที่สุด,2.75 วินาที,2.745426893234253
4,ชื่อ ประเทศ และอายุของนักร้องทุกคนเรียงตามอายุจากมากไปน้อยคืออะไร?,2.66 วินาที,2.661720037460327
5,อายุเฉลี่ย ขั้นต่ำ และสูงสุดของนักร้องทุกคนจากฝรั่งเศสคือเท่าใด,4.04 วินาที,4.035728931427002
6,อายุเฉลี่ย ขั้นต่ำ และสูงสุดสำหรับนักร้องชาวฝรั่งเศสคือเท่าใด,4.01 วินาที,4.01474404335022
7,แสดงชื่อและปีที่ออกเพลงโดยนักร้องอายุน้อยที่สุด,3.30 วินาที,3.2994110584259033
8,ชื่อและปีที่วางจำหน่ายของเพลงทั้งหมดของนักร้องอายุน้อยที่สุดคืออะไร?,8.42 วินาที,8.419477939605713
9,นักร้องอายุ 20 ปีขึ้นไปมาจากประเทศใดบ้าง,2.58 วินาที,2.583866834640503
10,ประเทศใดบ้างที่มีนักร้องอายุมากกว่า 20 ปี?,2.66 วินาที,2.658642053604126
11,แสดงทุกประเทศและจำนวนนักร้องในแต่ละประเทศ,2.39 วินาที,2.3895998001098633
12,แต่ละประเทศมีนักร้องกี่คน?,2.68 วินาที,2.6793110370635986
13,รายชื่อเพลงทั้งหมดโดยนักร้องที่อายุเกินเกณฑ์เฉลี่ย,3.72 วินาที,3.717485189437866
14,ชื่อเพลงของนักร้องที่มีอายุมากกว่าค่าเฉลี่ยคืออะไร?,4.86 วินาที,4.857508897781372
15,"แสดงที่ตั้งและชื่อสนามกีฬาทั้งหมดที่มีความจุระหว่าง 5,000 ถึง 10,000 ที่นั่ง",4.51 วินาที,4.514985084533691
16,"ที่ตั้งและชื่อของสถานีทั้งหมดที่มีความจุระหว่าง 5,000 ถึง 10,000 คือที่ใด",4.40 วินาที,4.403779029846191
17,ความจุสูงสุดและค่าเฉลี่ยของสนามทั้งหมดคือเท่าใด ?,1.94 วินาที,1.940901756286621
18,ความจุโดยเฉลี่ยและสูงสุดสำหรับสนามกีฬาทั้งหมดคือเท่าใด ?,2.76 วินาที,2.7576351165771484
19,ชื่อและความจุของสนามกีฬาที่มีผู้เข้าชมเฉลี่ยสูงสุดคืออะไร?,2.95 วินาที,2.9469470977783203
20,ชื่อและความจุของสนามกีฬาที่มีผู้เข้าชมเฉลี่ยสูงสุดคือเท่าใด?,2.86 วินาที,2.8616321086883545
21,ในปี 2557 หรือ 2558 มีคอนเสิร์ตกี่ครั้ง?,4.21 วินาที,4.207422971725464
22,มีคอนเสิร์ตกี่ครั้งในปี 2014 หรือ 2015?,3.94 วินาที,3.9392497539520264
23,แสดงชื่อสนามและจำนวนคอนเสิร์ตในแต่ละสนาม,7.90 วินาที,7.89805006980896
24,แต่ละสนามมีคอนเสิร์ตกี่รอบ?,3.65 วินาที,3.648944139480591
25,แสดงชื่อสนามกีฬาและความจุที่มีจำนวนคอนเสิร์ตมากที่สุดในปี 2557 เป็นต้นไป,11.23 วินาที,11.230377912521362
26,ชื่อและความจุของสนามกีฬาที่มีคอนเสิร์ตมากที่สุดหลังปี 2013 คืออะไร?,8.08 วินาที,8.079926013946533
27,ปีไหนมีคอนเสิร์ตมากที่สุด?,3.05 วินาที,3.0461111068725586
28,ปีไหนมีคอนเสิร์ตมากที่สุด?,2.41 วินาที,2.406790256500244
29,แสดงชื่อสนามโดยไม่มีคอนเสิร์ตใดๆ,3.47 วินาที,3.4693360328674316
30,สนามกีฬาที่ไม่มีคอนเสิร์ตชื่ออะไร?,3.48 วินาที,3.4769771099090576
31,แสดงประเทศที่มีนักร้องอายุมากกว่า 40 ปี และนักร้องอายุต่ำกว่า 30 ปี มาจาก,3.82 วินาที,3.8215291500091553
32,แสดงชื่อสนามกีฬาทุกแห่ง ยกเว้นสนามกีฬาที่มีการจัดคอนเสิร์ตในปี 2557,4.96 วินาที,4.96356201171875
33,สนามกีฬาทั้งหมดที่ไม่มีคอนเสิร์ตในปี 2014 ชื่ออะไร,4.61 วินาที,4.609766960144043
34,แสดงชื่อและธีมคอนเสิร์ตทั้งหมด และจำนวนนักร้องในแต่ละคอนเสิร์ต,8.71 วินาที,8.710527896881104
35,ชื่อ ธีม และจำนวนนักร้องในแต่ละคอนเสิร์ตมีอะไรบ้าง?,8.70 วินาที,8.704437971115112
36,รายชื่อนักร้องและจำนวนคอนเสิร์ตของนักร้องแต่ละคน,9.79 วินาที,9.790151119232178
37,นักร้องชื่ออะไร และจำนวนคอนเสิร์ตของแต่ละคนมีอะไรบ้าง?,8.10 วินาที,8.101722955703735
38,รายชื่อนักร้องทั้งหมดในคอนเสิร์ตปี 2557,9.81 วินาที,9.809979915618896
39,นักร้องที่แสดงในคอนเสิร์ตในปี 2557 ชื่ออะไร?,9.71 วินาที,9.711323022842407
40,ชื่อและสัญชาติของนักร้องที่มีเพลงว่า 'เฮ้' อยู่ในชื่ออะไร?,3.06 วินาที,3.0647189617156982
41,ชื่อและประเทศต้นกำเนิดของนักร้องทุกคนที่มีเพลงที่มีคำว่า 'เฮ้' อยู่ในชื่อคืออะไร?,3.46 วินาที,3.458913803100586
42,ค้นหาชื่อและที่ตั้งของสนามกีฬาที่มีคอนเสิร์ตบางแห่งเกิดขึ้นในปี 2014 และ 2015,8.74 วินาที,8.742258071899414
43,ชื่อและที่ตั้งของสนามกีฬาที่มีคอนเสิร์ตในปี 2014 และ 2015 คืออะไร?,8.60 วินาที,8.603009939193726
44,ค้นหาจำนวนคอนเสิร์ตที่เกิดขึ้นในสนามกีฬาที่มีความจุสูงสุด,5.03 วินาที,5.028879165649414
45,คอนเสิร์ตที่เกิดขึ้นในสนามกีฬาที่มีความจุมากที่สุดคือจำนวนเท่าใด ?,5.00 วินาที,4.995743036270142
46,จงหาจำนวนสัตว์เลี้ยงที่มีน้ำหนักมากกว่า 10,3.27 วินาที,3.274651288986206
47,มีสัตว์เลี้ยงกี่ตัวที่มีน้ำหนักมากกว่า 10?,2.46 วินาที,2.45650315284729
48,ค้นหาน้ำหนักของสุนัขที่อายุน้อยที่สุด,2.86 วินาที,2.8637161254882812
49,สุนัขที่อายุน้อยที่สุดมีน้ำหนักเท่าไหร่?,2.88 วินาที,2.8824501037597656
50,ค้นหาน้ำหนักสูงสุดสำหรับสัตว์เลี้ยงแต่ละประเภท ระบุน้ำหนักสูงสุดและประเภทสัตว์เลี้ยง,2.74 วินาที,2.7396790981292725
51,ระบุน้ำหนักและประเภทสูงสุดสำหรับสัตว์เลี้ยงแต่ละประเภท,2.73 วินาที,2.728148937225342
52,ค้นหาจำนวนสัตว์เลี้ยงของนักเรียนที่มีอายุมากกว่า 20 ปี,4.82 วินาที,4.822761058807373
53,นักเรียนที่มีอายุมากกว่า 20 ปีมีสัตว์เลี้ยงกี่ตัว?,7.44 วินาที,7.441591024398804
54,จงหาจำนวนสุนัขที่นักเรียนหญิงเลี้ยงไว้ (เพศ F),10.52 วินาที,10.516030073165894
55,นักเรียนหญิงเลี้ยงสุนัขได้กี่ตัว?,8.73 วินาที,8.728262901306152
56,ค้นหาจำนวนสัตว์เลี้ยงประเภทต่างๆ,2.64 วินาที,2.6430180072784424
57,สัตว์เลี้ยงมีกี่ประเภท?,1.76 วินาที,1.7554388046264648
58,ค้นหาชื่อนักเรียนที่มีสัตว์เลี้ยงแมวหรือสุนัข,8.83 วินาที,8.830929040908813
59,นักเรียนทุกคนที่มีแมวหรือสุนัขเป็นสัตว์เลี้ยงชื่ออะไร,6.49 วินาที,6.489277124404907
60,ค้นหาชื่อนักเรียนที่มีทั้งสัตว์เลี้ยงแมวและสุนัข,14.70 วินาที,14.700978994369507
61,ชื่อของนักเรียนที่มีทั้งแมวและสุนัขเป็นสัตว์เลี้ยงคืออะไร?,14.08 วินาที,14.08334493637085
62,ค้นหาสาขาวิชาและอายุของนักเรียนที่ไม่มีสัตว์เลี้ยงแมว,6.53 วินาที,6.529285907745361
63,นักเรียนทุกคนที่ไม่มีแมวเป็นสัตว์เลี้ยงสาขาวิชาเอกคืออะไร และพวกเขาอายุเท่าไหร่ด้วย?,6.74 วินาที,6.7416040897369385
64,ค้นหารหัสนักเรียนที่ไม่มีสัตว์เลี้ยงแมว,5.82 วินาที,5.819409132003784
65,รหัสของนักเรียนที่ไม่เลี้ยงแมวมีรหัสอะไรบ้าง?,5.10 วินาที,5.10201096534729
66,ค้นหาชื่อและอายุของนักเรียนที่มีสุนัขแต่ไม่มีแมวเป็นสัตว์เลี้ยง,11.78 วินาที,11.783056735992432
67,นักเรียนทุกคนที่มีสุนัขแต่ไม่มีแมวชื่ออะไร,14.35 วินาที,14.35237717628479
68,ค้นหาประเภทและน้ำหนักของสัตว์เลี้ยงที่อายุน้อยที่สุด,4.13 วินาที,4.1302173137664795
69,สัตว์เลี้ยงประเภทใดเป็นสัตว์ที่อายุน้อยที่สุด และมีน้ำหนักเท่าไหร่?,3.71 วินาที,3.7079269886016846
70,ค้นหารหัสและน้ำหนักของสัตว์เลี้ยงทุกตัวที่มีอายุมากกว่า 1 ปี,2.90 วินาที,2.9014248847961426
71,รหัสและน้ำหนักของสัตว์เลี้ยงทุกตัวที่มีอายุมากกว่า 1 ปีคือเท่าไร?,2.89 วินาที,2.886510133743286
72,ค้นหาอายุเฉลี่ยและอายุสูงสุดสำหรับสัตว์เลี้ยงแต่ละประเภท,6.63 วินาที,6.628131866455078
73,สัตว์เลี้ยงแต่ละประเภทอายุเฉลี่ยและสูงสุดคือเท่าไร?,4.12 วินาที,4.124276161193848
74,ค้นหาน้ำหนักเฉลี่ยของสัตว์เลี้ยงแต่ละประเภท,2.47 วินาที,2.473067045211792
75,น้ำหนักเฉลี่ยของสัตว์เลี้ยงแต่ละประเภทคือเท่าไร?,2.47 วินาที,2.467272996902466
76,ค้นหาชื่อและอายุของนักเรียนที่มีสัตว์เลี้ยง,3.70 วินาที,3.703936815261841
77,ชื่อและอายุของนักเรียนที่มีสัตว์เลี้ยงแตกต่างกันอย่างไร,4.29 วินาที,4.288533926010132
