question_id,question,evidence,difficulty,generation_time_formatted,generation_time_seconds
0,อัตราฟรีที่มีสิทธิ์สูงสุดสำหรับนักเรียน K-12 ในโรงเรียนใน Alameda County คืออะไร?,อัตราฟรีที่มีสิทธิ์สำหรับ K-12 = `จำนวนอาหารฟรี (K-12)` / `การลงทะเบียน (K-12)`,simple,28.29 วินาที,28.292022943496704
1,โปรดแสดงรายการอัตราฟรีที่มีสิทธิ์ต่ำที่สุดสำหรับนักเรียนอายุ 5-17 ปีในโรงเรียนต่อเนื่อง,อัตราฟรีที่มีสิทธิ์สำหรับนักเรียนอายุ 5-17 = `จำนวนอาหารฟรี (อายุ 5-17)` / `การลงทะเบียน (อายุ 5-17)` `,moderate,20.75 วินาที,20.74668788909912
2,โปรดระบุรหัสไปรษณีย์ของโรงเรียนเช่าเหมาลำทั้งหมดในสำนักงานการศึกษาเขตเฟรสโน,โรงเรียนเช่าเหมาลำหมายถึง `โรงเรียนเช่าเหมาลำ (y/n)` = 1 ในตาราง FPRM,simple,18.78 วินาที,18.78240990638733
3,ที่อยู่ Mailing Street ที่ไม่มีการตรวจสอบของโรงเรียนมีจำนวน FRPM ที่สูงที่สุดสำหรับนักเรียน K-12,,simple,17.96 วินาที,17.956305980682373
4,โปรดแสดงรายการหมายเลขโทรศัพท์ของโรงเรียนที่ได้รับการสนับสนุนจากกฎบัตรโดยตรงซึ่งเปิดหลังจากปี 2000/1/1,โรงเรียนเช่าเหมาลำหมายถึง `โรงเรียนเช่าเหมาลำ (y/n)` = 1 ใน FRPM,moderate,18.90 วินาที,18.897190809249878
5,มีโรงเรียนที่มีคะแนนเฉลี่ยในวิชาคณิตศาสตร์มากกว่า 400 แห่งในการทดสอบ SAT นั้นเป็นเสมือนจริงเท่านั้น?,เสมือนจริงโดยเฉพาะหมายถึง virtual = 'f',simple,19.31 วินาที,19.314826011657715
6,ในบรรดาโรงเรียนที่มีผู้ทดสอบ SAT กว่า 500 คนโปรดระบุรายการโรงเรียนที่เป็นโรงเรียนแม่เหล็กหรือเสนอโปรแกรมแม่เหล็ก,โรงเรียนแม่เหล็กหรือเสนอโปรแกรมแม่เหล็กหมายความว่าแม่เหล็ก = 1,simple,22.96 วินาที,22.957902908325195
7,"หมายเลขโทรศัพท์ของโรงเรียนที่มีจำนวนผู้ทดสอบจำนวนมากที่สุดที่มีคะแนน SAT มากกว่า 1,500",,simple,23.20 วินาที,23.195185899734497
8,จำนวนผู้ทดสอบ SAT จำนวนเท่าใดของโรงเรียนที่มีจำนวน FRPM ที่สูงที่สุดสำหรับนักเรียน K-12,,simple,19.27 วินาที,19.27177929878235
9,ในบรรดาโรงเรียนที่มีคะแนนเฉลี่ยในคณิตศาสตร์มากกว่า 560 ในการทดสอบ SAT มีโรงเรียนกี่แห่งที่ได้รับการสนับสนุนจากเช่าเหมาลำ,,simple,23.90 วินาที,23.900083780288696
10,สำหรับโรงเรียนที่มีคะแนนเฉลี่ยสูงสุดในการอ่านในการทดสอบ SAT จำนวน FRPM สำหรับนักเรียนอายุ 5-17 ปีคืออะไร?,,simple,21.80 วินาที,21.801655054092407
11,โปรดระบุรหัสของโรงเรียนที่มีการลงทะเบียนทั้งหมดมากกว่า 500,การลงทะเบียนทั้งหมดสามารถแสดงได้โดย `การลงทะเบียน (K-12)` + `การลงทะเบียน (อายุ 5-17)`,simple,20.64 วินาที,20.642153024673462
12,ในบรรดาโรงเรียนที่มีอัตราความเป็นเลิศ SAT มากกว่า 0.3 อัตราฟรีที่มีสิทธิ์สูงสุดสำหรับนักเรียนอายุ 5-17 ปีคืออะไร?,อัตราความเป็นเลิศ = numge1500 / numtsttakr; อัตราฟรีที่มีสิทธิ์สำหรับนักเรียนอายุ 5-17 = `จำนวนอาหารฟรี (อายุ 5-17)` / `การลงทะเบียน (อายุ 5-17)` `,moderate,28.33 วินาที,28.332963943481445
13,โปรดระบุหมายเลขโทรศัพท์ของโรงเรียนที่มีอัตราความเป็นเลิศ 3 อันดับแรก,อัตราความเป็นเลิศ = numge1500 / numtsttakr,simple,19.75 วินาที,19.752341985702515
14,แสดงรายการโรงเรียนห้าอันดับแรกตามคำสั่งลดลงจากที่สูงถึงต่ำสุดการลงทะเบียนจำนวนมากที่สุด (อายุ 5-17 ปี) โปรดระบุหมายเลขประจำตัวโรงเรียน NCES ของพวกเขา,,simple,18.52 วินาที,18.516422748565674
15,เขตที่ใช้งานอยู่ใดที่มีคะแนนเฉลี่ยสูงสุดในการอ่าน?,,simple,17.80 วินาที,17.796229124069214
16,มีโรงเรียนกี่แห่งใน Alameda ที่มีจำนวนผู้ทดสอบจำนวนน้อยกว่า 100 คน?,,simple,18.61 วินาที,18.61266803741455
