question_id,question,difficulty,generation_time_formatted,generation_time_seconds
0,อัตราฟรีที่มีสิทธิ์สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) ในโรงเรียนใน Alameda County คือเท่าใด,simple,32.22 วินาที,32.22308111190796
1,โปรดระบุอัตราค่าเรียนฟรีที่มีสิทธิ์ต่ำสุดสามรายการสำหรับนักเรียนอายุ 5-17 ปีในโรงเรียนต่อเนื่อง,moderate,6.55 วินาที,6.547785997390747
2,โปรดระบุรหัสไปรษณีย์ของโรงเรียนเหมาลำทั้งหมดในสำนักงานการศึกษาเทศมณฑลเฟรสโน,simple,4.51 วินาที,4.511245012283325
3,ที่อยู่ทางไปรษณีย์แบบไม่ย่อของโรงเรียนที่มีจำนวน FRPM สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) คืออะไร,simple,4.52 วินาที,4.520756959915161
4,โปรดระบุหมายเลขโทรศัพท์ของโรงเรียนที่ได้รับทุนสนับสนุนการเช่าเหมาลำโดยตรงที่เปิดหลังวันที่ 1/1/2000,moderate,5.80 วินาที,5.797161102294922
5,มีโรงเรียนกี่แห่งที่มีคะแนนเฉลี่ยในวิชาคณิตศาสตร์มากกว่า 400 ในการทดสอบ SAT ที่เป็นระบบเสมือนจริงโดยเฉพาะ,simple,9.92 วินาที,9.918162822723389
6,ในบรรดาโรงเรียนที่มีผู้สอบ SAT มากกว่า 500 คน โปรดระบุรายชื่อโรงเรียนที่เป็นโรงเรียนแม่เหล็กหรือเสนอโปรแกรมแม่เหล็ก,simple,10.01 วินาที,10.012261152267456
7,หมายเลขโทรศัพท์ของโรงเรียนที่มีผู้สอบ SAT มากกว่า 1500 มีจำนวนมากที่สุดคือหมายเลขโทรศัพท์อะไร?,simple,6.30 วินาที,6.303025245666504
8,จำนวนผู้สอบ SAT ของโรงเรียนที่มีจำนวน FRPM สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) คือเท่าใด,simple,7.23 วินาที,7.22829794883728
9,ในบรรดาโรงเรียนที่มีคะแนนเฉลี่ยวิชาคณิตศาสตร์มากกว่า 560 ในการสอบ SAT มีโรงเรียนกี่แห่งที่ได้รับทุนสนับสนุนโดยตรง,simple,7.85 วินาที,7.847430944442749
10,สำหรับโรงเรียนที่มีคะแนนเฉลี่ยสูงสุดในด้านการอ่านในการทดสอบ SAT FRPM ของนักเรียนอายุ 5-17 ปีนับเท่าใด,simple,5.69 วินาที,5.693403959274292
11,โปรดระบุรหัสของโรงเรียนที่มีจำนวนการลงทะเบียนมากกว่า 500,simple,4.69 วินาที,4.689428329467773
12,ในบรรดาโรงเรียนที่มีอัตราความเป็นเลิศ SAT มากกว่า 0.3 อัตราฟรีที่มีสิทธิ์สูงสุดสำหรับนักเรียนอายุ 5-17 ปีคือเท่าใด,moderate,10.33 วินาที,10.33220100402832
13,โปรดระบุหมายเลขโทรศัพท์ของโรงเรียนที่มีอัตราความเป็นเลิศ SAT 3 อันดับแรก,simple,4.35 วินาที,4.351574897766113
14,รายชื่อโรงเรียนห้าอันดับแรก ตามลำดับจากมากไปน้อยจากสูงสุดไปต่ำสุด จำนวนผู้ลงทะเบียนเรียนมากที่สุด (อายุ 5-17 ปี) โปรดระบุหมายเลขประจำตัวโรงเรียน NCES,simple,4.96 วินาที,4.958574056625366
15,เขตแอคทีฟใดที่มีคะแนนเฉลี่ยสูงสุดในเรดดิ้ง?,simple,3.76 วินาที,3.7607641220092773
16,มีโรงเรียนกี่แห่งใน Alameda ที่รวมกันแล้วมีจำนวนผู้สอบน้อยกว่า 100 คน,simple,9.74 วินาที,9.740170955657959
17,จัดอันดับโรงเรียนตามคะแนนเฉลี่ยในการเขียน โดยที่คะแนนมากกว่า 499 โดยแสดงหมายเลขกฎบัตรของโรงเรียน,simple,6.07 วินาที,6.072184085845947
18,มีโรงเรียนกี่แห่งในเฟรสโน (ได้รับทุนสนับสนุนโดยตรง) ที่มีผู้สอบไม่เกิน 250 คน,simple,11.36 วินาที,11.364174842834473
19,หมายเลขโทรศัพท์ของโรงเรียนที่มีคะแนนเฉลี่ยวิชาคณิตศาสตร์สูงสุดคืออะไร?,simple,3.85 วินาที,3.8513009548187256
20,มีโรงเรียนกี่แห่งใน Amador ซึ่งเกรดต่ำคือ 9 และเกรดสูงคือ 12,simple,5.32 วินาที,5.319810152053833
21,ในลอสแอนเจลิส มีโรงเรียนกี่แห่งที่มีอาหารฟรีมากกว่า 500 มื้อ แต่มีอาหารฟรีหรือลดราคาน้อยกว่า 700 มื้อสำหรับ K-12,simple,12.73 วินาที,12.73178505897522
22,โรงเรียนใดใน คอนทรา คอสต้า มีผู้สอบจำนวนมากที่สุด?,simple,5.40 วินาที,5.403122901916504
23,รายชื่อโรงเรียนที่มีความแตกต่างมากกว่า 30 ในการลงทะเบียนระหว่าง K-12 และอายุ 5-17 ปี โปรดระบุที่อยู่เต็มของโรงเรียนด้วย,moderate,14.04 วินาที,14.037225008010864
24,"ระบุชื่อโรงเรียนที่มีเปอร์เซ็นต์สิทธิ์รับอาหารฟรีในระดับอนุบาลถึงมัธยมศึกษาตอนปลาย (K-12) มากกว่า 0.1 และผู้สอบที่มีคะแนนสอบมากกว่าหรือเท่ากับ 1,500?",moderate,11.60 วินาที,11.602607250213623
25,ชื่อโรงเรียนในริเวอร์ไซด์ที่คะแนนเฉลี่ยคณิตศาสตร์สำหรับ SAT มากกว่า 400 โรงเรียนเหล่านี้มีทุนสนับสนุนประเภทใด?,moderate,10.10 วินาที,10.102457046508789
26,ระบุชื่อและที่อยู่การสื่อสารแบบเต็มของโรงเรียนมัธยมในมอนเทอเรย์ซึ่งมีอาหารฟรีหรือลดราคามากกว่า 800 รายการสำหรับเด็กอายุ 15-17 ปี,moderate,8.97 วินาที,8.966623067855835
27,คะแนนเฉลี่ยในการเขียนของโรงเรียนที่เปิดหลังปี 1991 หรือปิดก่อนปี 2000 เป็นเท่าใด ระบุชื่อโรงเรียนพร้อมคะแนน นอกจากนี้ให้ระบุหมายเลขติดต่อของโรงเรียนหากมี,moderate,12.92 วินาที,12.91896104812622
28,พิจารณาความแตกต่างโดยเฉลี่ยระหว่างการลงทะเบียนระดับอนุบาลถึงมัธยมศึกษา (K-12) และการลงทะเบียนอายุ 15-17 ปีของโรงเรียนที่ได้รับทุนสนับสนุนในท้องถิ่น ระบุชื่อและประเภท DOC ของโรงเรียนที่มีความแตกต่างสูงกว่าค่าเฉลี่ยนี้,challenging,16.66 วินาที,16.663413047790527
29,โรงเรียนตั้งแต่ชั้นประถมศึกษาปีที่ 1 ถึงชั้นประถมศึกษาปีที่ 12 ที่มีการลงทะเบียนเรียนมากที่สุดเปิดทำการเมื่อใด,simple,7.16 วินาที,7.161837100982666
30,เมืองใดมีหมายเลขการลงทะเบียนต่ำสุด 5 อันดับแรกสำหรับนักเรียนเกรด 1 ถึงเกรด 12,simple,5.91 วินาที,5.911853075027466
31,โรงเรียนอันดับที่ 10 และ 11 ที่ลงทะเบียนฟรีสำหรับนักเรียนชั้นประถมศึกษาปีที่ 1 ถึง 12 มีโอกาสเข้าเรียนฟรีในอัตราเท่าใด,moderate,6.10 วินาที,6.104576110839844
32,อัตราค่าอาหารฟรีหรือลดราคาที่เข้าเกณฑ์สำหรับโรงเรียน 5 อันดับแรกในเกรด 1-12 ที่มีจำนวนมื้ออาหารฟรีหรือลดราคาสูงสุดของโรงเรียนที่มีรหัสการเป็นเจ้าของ 66 คือเท่าใด,moderate,6.56 วินาที,6.555278062820435
33,"ถ้ามี มีที่อยู่เว็บไซต์ของโรงเรียนที่มีอาหารฟรีจำนวน 1,900-2,000 สำหรับนักเรียนอายุ 5-17 ปี บ้าง? พร้อมทั้งระบุชื่อโรงเรียน",moderate,6.72 วินาที,6.722208738327026
